,no rank,superkingdom,order,family,genus,species,subfamily,phylum,subphylum,class
BP19_NODE_244_length_1301_cov_0_626271,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP19_NODE_246_length_1287_cov_1_408233,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP19_NODE_270_length_1239_cov_0_862254,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP19_NODE_276_length_1212_cov_1_307058,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP19_NODE_277_length_1209_cov_2_000919,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP19_NODE_295_length_1169_cov_0_703244,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP19_NODE_29_length_3930_cov_1_306380,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP19_NODE_301_length_1154_cov_1_623427,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP19_NODE_319_length_1104_cov_0_928789,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP19_NODE_333_length_1078_cov_0_537095,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP19_NODE_347_length_1065_cov_0_443856,unclassified Genomoviridae,Vira,Unclassified,Genomoviridae,Unclassified,Grasshopper associated circular virus 1,Unclassified,Unclassified,Unclassified,Unclassified
BP19_NODE_359_length_1029_cov_0_362335,unclassified Densovirus,Vira,Unclassified,Parvoviridae,Ambidensovirus,Lupine feces-associated densovirus 2,Densovirinae,Unclassified,Unclassified,Unclassified
BP19_NODE_367_length_1022_cov_0_605993,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP19_NODE_372_length_1013_cov_0_755605,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP19_NODE_387_length_992_cov_0_458094,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP19_NODE_396_length_978_cov_0_456243,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP19_NODE_401_length_971_cov_0_224706,unclassified Picornavirales,Vira,Picornavirales,Unclassified,Unclassified,Robinvale bee virus 6,Unclassified,Unclassified,Unclassified,Unclassified
BP19_NODE_403_length_966_cov_0_978698,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP19_NODE_42_length_3505_cov_1_017435,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP19_NODE_438_length_909_cov_1_305838,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP19_NODE_464_length_880_cov_0_367589,unclassified RNA viruses ShiM-2016,Vira,Unclassified,Unclassified,Unclassified,Hubei noda-like virus 15,Unclassified,Unclassified,Unclassified,Unclassified
BP19_NODE_46_length_3327_cov_0_839364,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP19_NODE_48_length_3295_cov_0_818526,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP19_NODE_499_length_833_cov_0_445225,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP19_NODE_588_length_735_cov_0_472313,unclassified Densovirus,Vira,Unclassified,Parvoviridae,Ambidensovirus,Lupine feces-associated densovirus 2,Densovirinae,Unclassified,Unclassified,Unclassified
BP19_NODE_613_length_714_cov_0_548061,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP19_NODE_625_length_707_cov_0_684300,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP19_NODE_634_length_701_cov_0_743103,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP19_NODE_637_length_700_cov_0_150259,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP19_NODE_650_length_692_cov_0_304729,unclassified Iridovirus,Vira,Unclassified,Iridoviridae,Iridovirus,Unclassified,Betairidovirinae,Unclassified,Unclassified,Unclassified
BP19_NODE_65_length_2873_cov_1_979651,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP19_NODE_678_length_674_cov_1_708861,all,Vira,Unclassified,Genomoviridae,Gemycircularvirus,Pteropus associated gemycircularvirus 10,Unclassified,Unclassified,Unclassified,Unclassified
BP19_NODE_682_length_672_cov_0_257713,unclassified Genomoviridae,Vira,Unclassified,Genomoviridae,Unclassified,Grasshopper associated circular virus 1,Unclassified,Unclassified,Unclassified,Unclassified
BP19_NODE_68_length_2839_cov_0_811994,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP19_NODE_727_length_652_cov_0_623352,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP19_NODE_72_length_2709_cov_0_531298,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP19_NODE_755_length_633_cov_0_333984,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP19_NODE_784_length_621_cov_0_154000,unclassified RNA viruses ShiM-2016,Vira,Unclassified,Unclassified,Unclassified,Beihai sea slater virus 1,Unclassified,Unclassified,Unclassified,Unclassified
BP19_NODE_78_length_2527_cov_1_205320,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP19_NODE_82_length_2450_cov_0_956634,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP19_NODE_834_length_595_cov_0_286920,unclassified Totiviridae,Vira,Unclassified,Totiviridae,Unclassified,Red clover powdery mildew-associated totivirus 2,Unclassified,Unclassified,Unclassified,Unclassified
BP19_NODE_838_length_591_cov_0_878723,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP19_NODE_86_length_2405_cov_1_498249,unclassified Genomoviridae,Vira,Unclassified,Genomoviridae,Unclassified,Spider associated circular virus 2,Unclassified,Unclassified,Unclassified,Unclassified
BP19_NODE_975_length_534_cov_0_200969,unclassified RNA viruses ShiM-2016,Vira,Unclassified,Unclassified,Unclassified,Hubei odonate virus 5,Unclassified,Unclassified,Unclassified,Unclassified
BP19_NODE_996_length_525_cov_0_596535,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP19_NODE_998_length_524_cov_0_486352,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BP1_NODE_1194_length_553_cov_0_358796,unclassified Densovirinae,Vira,Unclassified,Parvoviridae,Unclassified,Bombus cryptarum densovirus,Densovirinae,Unclassified,Unclassified,Unclassified
BP1_NODE_1474_length_504_cov_0_639687,Raphanus sativas chrysovirus 1,Vira,Unclassified,Chrysoviridae,Alphachrysovirus,Raphanus sativus chrysovirus,Unclassified,Unclassified,Unclassified,Unclassified
BP1_NODE_287_length_991_cov_1_026437,unclassified Densovirinae,Vira,Unclassified,Parvoviridae,Unclassified,Bombus cryptarum densovirus,Densovirinae,Unclassified,Unclassified,Unclassified
BP1_NODE_386_length_869_cov_0_372995,Raphanus sativas chrysovirus 1,Vira,Unclassified,Chrysoviridae,Alphachrysovirus,Raphanus sativus chrysovirus,Unclassified,Unclassified,Unclassified,Unclassified
BP1_NODE_503_length_784_cov_0_202112,Raphanus sativas chrysovirus 1,Vira,Unclassified,Chrysoviridae,Alphachrysovirus,Raphanus sativus chrysovirus,Unclassified,Unclassified,Unclassified,Unclassified
BP1_NODE_62_length_1804_cov_0_265003,Raphanus sativas chrysovirus 1,Vira,Unclassified,Chrysoviridae,Alphachrysovirus,Raphanus sativus chrysovirus,Unclassified,Unclassified,Unclassified,Unclassified
BP1_NODE_684_length_688_cov_0_352734,unclassified Densovirinae,Vira,Unclassified,Parvoviridae,Unclassified,Bombus cryptarum densovirus,Densovirinae,Unclassified,Unclassified,Unclassified
BP1_NODE_856_length_624_cov_0_469185,Raphanus sativas chrysovirus 1,Vira,Unclassified,Chrysoviridae,Alphachrysovirus,Raphanus sativus chrysovirus,Unclassified,Unclassified,Unclassified,Unclassified
BP20_NODE_142_length_584_cov_0_425486,unclassified Densovirinae,Vira,Unclassified,Parvoviridae,Unclassified,Fresh Meadows densovirus 3,Densovirinae,Unclassified,Unclassified,Unclassified
BP20_NODE_3_length_2610_cov_2_281237,unclassified Densovirinae,Vira,Unclassified,Parvoviridae,Unclassified,Fresh Meadows densovirus 1,Densovirinae,Unclassified,Unclassified,Unclassified
BP20_NODE_8_length_1986_cov_1_120643,unclassified Densovirinae,Vira,Unclassified,Parvoviridae,Unclassified,Unclassified,Densovirinae,Unclassified,Unclassified,Unclassified
BP21_NODE_122_length_556_cov_0_528736,unclassified Densovirinae,Vira,Unclassified,Parvoviridae,Unclassified,Hucadensovirus HuDV 21,Densovirinae,Unclassified,Unclassified,Unclassified
BP21_NODE_27_length_1346_cov_0_448163,unclassified Densovirinae,Vira,Unclassified,Parvoviridae,Unclassified,Blattella germanica densovirus-like virus,Densovirinae,Unclassified,Unclassified,Unclassified
BP21_NODE_28_length_1335_cov_1_837727,unclassified Densovirinae,Vira,Unclassified,Parvoviridae,Unclassified,Hucadensovirus HuDV 21,Densovirinae,Unclassified,Unclassified,Unclassified
BP21_NODE_30_length_1313_cov_13_792785,environmental samples,Vira,Unclassified,Unclassified,Unclassified,uncultured virus,Unclassified,Unclassified,Unclassified,Unclassified
BP21_NODE_5_length_2609_cov_3_722669,unclassified Totiviridae,Vira,Unclassified,Totiviridae,Unclassified,Panax notoginseng virus A,Unclassified,Unclassified,Unclassified,Unclassified
BP21_NODE_76_length_799_cov_1_123894,environmental samples,Vira,Unclassified,Unclassified,Unclassified,uncultured virus,Unclassified,Unclassified,Unclassified,Unclassified
BP21_NODE_78_length_742_cov_0_330113,unclassified Picobirnaviridae,Vira,Unclassified,Picobirnaviridae,Unclassified,Lysoka partiti-like virus,Unclassified,Unclassified,Unclassified,Unclassified
BP21_NODE_90_length_647_cov_0_408745,environmental samples,Vira,Unclassified,Unclassified,Unclassified,uncultured virus,Unclassified,Unclassified,Unclassified,Unclassified
BP22_NODE_2_length_3682_cov_1242_816905,RNA viruses,Vira,Unclassified,Unclassified,Sinaivirus,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
BP22_NODE_5_length_2257_cov_543_636236,unclassified Sinaivirus,Vira,Unclassified,Unclassified,Sinaivirus,Lake Sinai Virus TO,Unclassified,Unclassified,Unclassified,Unclassified
BP22_NODE_6_length_2191_cov_4_574396,unclassified Genomoviridae,Vira,Unclassified,Genomoviridae,Unclassified,Termite associated circular virus 2,Unclassified,Unclassified,Unclassified,Unclassified
BP22_NODE_7_length_1981_cov_0_829570,unclassified Sinaivirus,Vira,Unclassified,Unclassified,Sinaivirus,Lake Sinai virus,Unclassified,Unclassified,Unclassified,Unclassified
BP23_NODE_1019_length_591_cov_0_244681,RNA viruses,Vira,Unclassified,Virgaviridae,Tobravirus,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
BP23_NODE_105_length_2325_cov_2_703721,ssDNA nonenveloped viruses,Vira,Unclassified,Unclassified,Unclassified,Sewage-associated circular DNA virus-37,Unclassified,Unclassified,Unclassified,Unclassified
BP23_NODE_1067_length_579_cov_0_491266,RNA viruses,Vira,Picornavirales,Comoviridae,Nepovirus,TBRV,Comovirinae,Unclassified,Unclassified,Unclassified
BP23_NODE_106_length_2322_cov_7_229441,unclassified RNA viruses ShiM-2016,Vira,Unclassified,Unclassified,Unclassified,Beihai barnacle virus 14,Unclassified,Unclassified,Unclassified,Unclassified
BP23_NODE_1093_length_572_cov_0_246120,ssDNA nonenveloped viruses,Vira,Unclassified,Unclassified,Unclassified,Odonata-associated circular virus-15,Unclassified,Unclassified,Unclassified,Unclassified
BP23_NODE_1121_length_563_cov_0_538462,CRESS viruses,Vira,Unclassified,Unclassified,Unclassified,CRESS virus sp.,Unclassified,Unclassified,Unclassified,Unclassified
BP23_NODE_1124_length_562_cov_0_301587,unclassified Picornavirales,Vira,Picornavirales,Unclassified,Unclassified,Renmark bee virus 3,Unclassified,Unclassified,Unclassified,Unclassified
BP23_NODE_112_length_2217_cov_0_478053,unclassified Dicistroviridae,Vira,Picornavirales,Dicistroviridae,Unclassified,Centovirus,Unclassified,Unclassified,Unclassified,Unclassified
BP23_NODE_1134_length_560_cov_0_216401,all,Vira,Unclassified,Parvoviridae,Unclassified,Unclassified,Densovirinae,Unclassified,Unclassified,Unclassified
BP23_NODE_1149_length_557_cov_0_229358,unclassified Picornavirales,Vira,Picornavirales,Unclassified,Unclassified,Robinvale bee virus 6,Unclassified,Unclassified,Unclassified,Unclassified
BP23_NODE_1169_length_553_cov_0_180556,unclassified virus,Vira,Unclassified,Unclassified,Unclassified,Lake Sarah-associated circular virus-39,Unclassified,Unclassified,Unclassified,Unclassified
BP23_NODE_1197_length_548_cov_0_126464,unclassified Genomoviridae,Vira,Unclassified,Genomoviridae,Unclassified,Grasshopper associated circular virus 1,Unclassified,Unclassified,Unclassified,Unclassified
BP23_NODE_1260_length_536_cov_0_146988,environmental samples,Vira,Unclassified,Unclassified,Unclassified,uncultured virus,Unclassified,Unclassified,Unclassified,Unclassified
BP23_NODE_1272_length_533_cov_0_830097,ssDNA nonenveloped viruses,Vira,Unclassified,Unclassified,Unclassified,Circovirus-like genome RW-E,Unclassified,Unclassified,Unclassified,Unclassified
BP23_NODE_1310_length_523_cov_0_159204,CRESS viruses,Vira,Unclassified,Unclassified,Unclassified,CRESS virus sp.,Unclassified,Unclassified,Unclassified,Unclassified
BP23_NODE_131_length_2024_cov_1_120336,unclassified Alphacryptovirus,Vira,Unclassified,Partitiviridae,Unclassified,Partitivirus-like 4,Unclassified,Unclassified,Unclassified,Unclassified
BP23_NODE_1403_length_505_cov_0_218750,unclassified Circoviridae,Vira,Unclassified,Circoviridae,Unclassified,Circoviridae sp.,Unclassified,Unclassified,Unclassified,Unclassified
BP23_NODE_141_length_1960_cov_0_245786,RNA viruses,Vira,Unclassified,Chrysoviridae,Betachrysovirus,Penicillium janczewskii chrysovirus 1,Unclassified,Unclassified,Unclassified,Unclassified
BP23_NODE_154_length_1821_cov_1_175882,unclassified Genomoviridae,Vira,Unclassified,Genomoviridae,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
BP23_NODE_181_length_1578_cov_4_697323,unclassified Alphacryptovirus,Vira,Unclassified,Partitiviridae,Unclassified,Sinapis alba cryptic virus 1,Unclassified,Unclassified,Unclassified,Unclassified
BP23_NODE_183_length_1569_cov_0_241022,RNA viruses,Vira,Unclassified,Chrysoviridae,Betachrysovirus,Penicillium janczewskii chrysovirus 1,Unclassified,Unclassified,Unclassified,Unclassified
BP23_NODE_185_length_1550_cov_1_178446,unclassified Alphacryptovirus,Vira,Unclassified,Partitiviridae,Unclassified,Sclerotinia sclerotiorum partitivirus 3,Unclassified,Unclassified,Unclassified,Unclassified
BP23_NODE_189_length_1521_cov_2_165000,unclassified Alphacryptovirus,Vira,Unclassified,Partitiviridae,Unclassified,Raphanus sativus cryptic virus 2,Unclassified,Unclassified,Unclassified,Unclassified
BP23_NODE_192_length_1510_cov_0_303816,RNA viruses,Vira,Unclassified,Chrysoviridae,Betachrysovirus,Penicillium janczewskii chrysovirus 1,Unclassified,Unclassified,Unclassified,Unclassified
BP23_NODE_207_length_1424_cov_1_077513,all,Vira,Unclassified,Parvoviridae,Unclassified,Unclassified,Densovirinae,Unclassified,Unclassified,Unclassified
BP23_NODE_217_length_1383_cov_1_278130,unclassified Alphacryptovirus,Vira,Unclassified,Partitiviridae,Unclassified,Sclerotinia sclerotiorum partitivirus 2,Unclassified,Unclassified,Unclassified,Unclassified
BP23_NODE_252_length_1247_cov_0_428064,unclassified Alphacryptovirus,Vira,Unclassified,Partitiviridae,Unclassified,Alternaria alternata partitivirus 1,Unclassified,Unclassified,Unclassified,Unclassified
